,Tracking Number,Description/Basis for Appeal
0,EPA-R6-2014-000534,"I attach a table of the information I gathered at the TX RR Commission.
 
Also, per the TCEQ, otis ia available at:
 
http://www.epa-otis.gov/cgi-bin/effluentsquery.cgi.
 
And, the NPDES program per the Memorandum of Agreement (MOA) between the TCEQ (previously the TNRCC) and the U.S. EPA, Region 6 concerning the NPDES program are 1311, 1321, 1382, 1389, 4922, & 4925.
 
We need all NPDES permit information for a specific report; this is rather voluminous.  We do not need historical information.  We will let a consultant do that.
 
HOT topic information is: treatment system, flow rate, TOC, COD, BOD, ammonia and nitrates. 

Sites for US EPA NPDES Permits
No.	TX RR C. Ser. No. 	Operator	Name	County	Operator Address	
Site Address	Phone	Comments
1	01-0746	Texas Midstream Utility, LP	Lancaster Plt.	Frio	S. 300, 18615 Tuscany Stone, San Antonio, TX 78258  		210-569-6746	BP
2	04-1201	ExxonMobil Corp.	King Ranch Plt	Kleberg	POB 4548, H, TX 77210		713-680-7320	Many cos.
1m mcf capacity
3	05-1850	Tristream East Texas, LLC	Eustace Plt	Henderson	16401 CR 2854, Eustace, TX  75124-5171		903-451-3004, X 17	Gas Processing
70k mcf
>8k T S/m 
4	06-2841	Orion Pipeline, LLC	Orion-Panola-Vice Shivers	Panola	S. 404100 E Ferguson St.
Tyler, TX  75702	32°16?40.77°N, 94°28?20.75°W	903-592-3200	
5	06-1862	Enbridge G&P 
(East Texas) LP	Longview Gas Processing Plt	Gregg	540  Private Road 2297, Longview, TX  75602  		903-223-4373	Sun, Mobil, Texas Eastman
6	06-2776	Anadarko E&P Co., LP	CJV Gathering System	Panola	1200 Timberloch Place, The Woodlands, TX 77380		832-636-8697	Gath & Comp.
85 mmcf
7	06-1303	Centerpoint Engy Fld Svcs LLC	Waskom Gas Plt	Gregg/Harrison	# 505, 2350 Airport Fwy,
Bedford, TX 76022	155 Private Rd 1133, Waskom, TX 75692	817-864-3168	Centerpoint, BP
Gas. Proc.
8	06-1146	XTO Energy, Inc.	Willow Springs	Gregg	6141 Paluxy Dr,
Tyler, TX 75703	0.75 mi W Hwy 31	903-579-7740	Dynergy
Separation
9	06-1436	XTO Energy, Inc.	Whelan	Harrison	6141"
1,EPA-R6-2012-000757,"Information regarding Corps of Engineers case no: SWG-2011-00842 Corps of Engineers FOIA no: FA 12-0230 Mr. Ronnie Rod, alleged mechanized land clearing of wetlands on a tract of vacant land located northwest of the intersection of Sleepy Hollow Rd. and Post Oak Road, in Montgomery County, Texas (the property)"
2,EPA-R2-2015-002919,"Any records pertaining to the use, storage, dumping, processing, or clean-up of any hazardous wastes, petroleum products and containers, or any other environmentally significant substances or processes on the target site of 428 Fairfield Road, Fairfield, NJ 07004."
3,CBP-IA-2015-003814,"I would like a copy of any Customs and Border Protection background investigations (i.e., report of investigation ) regarding myself."
4,EPA-HQ-2013-005537,"To Whom It May Concern:

Pursuant to the federal Freedom of Information Act, 5 U.S.C. 552, I request copies of: 

1.	Any audit conducted by the Environmental Protection Agency (EPA) of the Center for Toxicology and Environmental Health (CTEH) between 1996 and the present; 
2.	Any reports prepared by the Center for Toxicology and Environmental Health (CTEH) for the Environmental Protection Agency (EPA) between 1996 and the present; 
3.	Any reports prepared by the Center for Toxicology and Environmental Health (CTEH) in conjunction with the Environmental Protection Agency (EPA) between 1996 and the present.

I?d appreciate an electronic copy of these files by email if possible. If not, all hard copies can be mailed to:

Jesse Newman
239 Ocean Ave., #4B1
Brooklyn, NY 11225

As a journalist, I respectfully request that relevant and traditional fees be waived and that these records be given expedited treatment. I am aware that I am only required to pay for the direct cost of duplication after the first 100 pages. Please redact any exempted material ? citing the relevant portions of the law ? and then release the remainder. Please call with any questions regarding my request.
Thank you for your assistance.

Sincerely,
Jesse Newman"
5,EPA-HQ-2013-001234,"To Whom It May Concern:

Through the Freedom of Information Act, I am requesting the following:

A listing of RCRA Corrective Action Sites (CORRACTS) for all ten EPA regions.  

I would like the data on CDRom or by email.  I would like the data in Access or Excel format.

If you cannot send in Access or Excel format, I wo uld like the file in comma delimited format.


Information I would like is 

EPA region
Facility name
Location street address
Location city
Location state
Location zipcode
Location county
EPA ID number
Area name
Corrective action event code
Original scheduled date
New scheduled date
Actual date
NCAPS ranking
SIC Code
NAICS Code.
 

Please include any documentation needed to read the data.

I guarantee payment of cost up $100.00.  If the cost will exceed $100.00, please let me know. 

Thank you for your assistance.

Sincerely, Connie Marini
EDR, Inc.
440 Wheelers Farms Road
Milford, CT 06461
800-265-1596
cmarini@edrnet.com"
6,EPA-R10-2013-010022,"I am looking for a digital copy of the 104e responses for the following eleven (11) entities: 

?	Anchor Park LLC
?	Automatic Vending
?	ATC Leasing Co LLC
?	Basin Street Assoc
?	Crosby & Overton
?	D S U-Peterbilt & GMC Truck
?	FLRF LLC
?	North Basin Watumull LLC, Watamull Properties Corp., Swan Island Watumull LLC
?	Oregon Washington Railroad & Navigation
?	Portland General Electric Co
?	Tice Properties

Thanks,
Brigid Antolos"
7,EPA-HQ-2012-000951,Requesting a little more information about the national monitoring plan for pesticides.
8,EPA-R9-2014-007920,"Hello 

Through an FOIA Request, I am requesting the following for all of Region 9 in Excel format. 

A listing of Underground Storage Tank Site locations on Indian Land. 

Information I would like is: 

Site Id Tankid Tankstatusdesc Dateoftankstatuschange Substancedesc Overfillinstalled Spillinstalled Tribe Locname Locstr City State Zip Locphone Dateinstalled 


Thank you

Christian Ampuero
christiana@reccheck.com
714-669-8096 EXT 1110"
9,EPA-R8-2015-002860,"Hello 



Through an FOIA Request, I am requesting the following for all of Region 8 in Excel format. 



A listing of Underground Storage Tank Site locations on Indian Land. 



Information I would like is: 



AltFacilityID Tribe LocName Latitude Longitude LocStr tblFacility.City tblFacility.County tblFacility.STATE tblFacility.ZIP FacilityDesc TankID SubstanceDesc TankStatusDesc TankMatDesc PipeMatDesc SpillInstalled OverfillInstalled LeakDetectedOrCleanClosure DateInstalled DateClosed Name Address tblOwner.City tblOwner.County tblOwner.STATE tblOwner.ZIP"
10,EPA-R2-2014-005646,"467 Egg Harbor Road, Washington Township NJ 08080 - Block 193 Lot 7.01

Request is for a Phase I.  Records regarding enforcement information, manifests, compliance, permits, site remediation, prior EPA filing."
